,,,,,,,,,,,,,,,
,,,,,,,,,,,(i),,,,
,,,,"Budget Provisions, net of receipts and recoveries, for the year2025-2026 are as under:
(further details are on pages indicated in the last column of this Statement)",,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,(In ? Crores),,,,,,,,,,,,,
,,,,,, Budget Estimates2025-2026 ,,,,,,,,,
,,,,,,Revenue,Capital,,Total,,,Page No,,,
,,Ministry of Agriculture and Farmers Welfare,,,,137664.35,92.2,,137756.55,,,,,,
,,1. ,Department of Agriculture and Farmers Welfare,,,127202.29,87.87,,127290.16,,,1-6       ,,,
,,2. ,Department of Agricultural Research and Education,,,10462.06,4.33,,10466.39,,,7-9       ,,,
,,Department of Atomic Energy,,,,12071.46,11977.64,,24049.1,,,,,,
,,3. ,Atomic Energy,,,12071.46,11977.64,,24049.1,,,10-15     ,,,
,,Ministry of AYUSH,,,,3937.45,55.45,,3992.9,,,,,,
,,4. ,Ministry of Ayush,,,3937.45,55.45,,3992.9,,,16-19     ,,,
,,Ministry of Chemicals and Fertilisers,,,,161946.49,18.72,,161965.21,,,,,,
,,5. ,Department of Chemicals and Petrochemicals,,,192.07,1.98,,194.05,,,20-21     ,,,
,,6. ,Department of Fertilisers,,,156487.26,15.18,,156502.44,,,22-24     ,,,
,,7. ,Department of Pharmaceuticals,,,5267.16,1.56,,5268.72,,,25-28     ,,,
,,Ministry of Civil Aviation,,,,2330.31,70,,2400.31,,,,,,
,,8. ,Ministry of Civil Aviation,,,2330.31,70,,2400.31,,,29-31     ,,,
,,Ministry of Coal,,,,499,2.2,,501.2,,,,,,
,,9. ,Ministry of Coal,,,499,2.2,,501.2,,,32-33     ,,,
,,Ministry of Commerce and Industry,,,,12699.92,5746.13,,18446.05,,,,,,
,,10. ,Department of Commerce,,,5246.99,54,,5300.99,,,34-37     ,,,
,,11. ,Department for Promotion of Industry and Internal Trade,,,7452.93,5692.13,,13145.06,,,38-43     ,,,
,,Ministry of Communications,,,,55362,52743.1,,108105.1,,,,,,
,,12. ,Department of Posts,,,26141.51,958.35,,27099.86,,,44-45     ,,,
,,13. ,Department of Telecommunications,,,29220.49,51784.75,,81005.24,,,46-50     ,,,
,,"Ministry of Consumer Affairs, Food and Public Distribution",,,,215662.44,104.65,,215767.09,,,,,,
,,14. ,Department of Consumer Affairs,,,4276.3,84.42,,4360.72,,,51-53     ,,,
,,15. ,Department of Food and Public Distribution,,,211386.14,20.23,,211406.37,,,54-57     ,,,
,,Ministry of Cooperation,,,,1184.68,1.61,,1186.29,,,,,,
,,16. ,Ministry of Cooperation,,,1184.68,1.61,,1186.29,,,58-59     ,,,
,,Ministry of Corporate Affairs,,,,11444.86,116.33,,11561.19,,,,,,
,,17. ,Ministry of Corporate Affairs,,,11444.86,116.33,,11561.19,,,60-61     ,,,
,,Ministry of Culture,,,,3168.51,192.45,,3360.96,,,,,,
,,18. ,Ministry of Culture,,,3168.51,192.45,,3360.96,,,62-64     ,,,
,,Ministry of Defence,,,,488822.65,192387.62,,681210.27,,,,,,
,,19. ,Ministry of Defence (Civil),,,16295.35,12387.62,,28682.97,,,65-68     ,,,
,,20. ,Defence Services (Revenue),,,311732.3,0,,311732.3,,,69-70     ,,,
,,21. ,Capital Outlay on Defence Services,,,0,180000,,180000,,,71-73     ,,,
,,22. ,Defence Pensions,,,160795,0,,160795,,,74-75     ,,,
,,Ministry of Development  of North Eastern Region,,,,1882.76,4032.24,,5915,,,,,,
,,23. ,Ministry of Development of North Eastern Region,,,1882.76,4032.24,,5915,,,76-78     ,,,
,,Ministry of Earth Sciences,,,,2770.78,879.03,,3649.81,,,,,,
,,24. ,Ministry of Earth Sciences,,,2770.78,879.03,,3649.81,,,79-81     ,,,
,,Ministry of Education,,,,128638.98,11.07,,128650.05,,,,,,
