Department,Ministry,Budget 2020 - 2021 Revenue,Budget 2020 - 2021 Capital,Budget 2020 - 2021 Total,Revised 2020 - 2021 Revenue,Revised 2020 - 2021 Capital,Revised 2020 - 2021 Total,Actual 2019 - 2020 Revenue,Actual 2019 - 2020 Capital,Actual 2019 - 2020 Total,Budget 2021 - 2022 Revenue,Budget 2021 - 2022 Capital,Budget 2021 - 2022 Total,Revised 2021 - 2022 Revenue,Revised 2021 - 2022 Capital,Revised 2021 - 2022 Total,Actual 2020 - 2021 Revenue,Actual 2020 - 2021 Capital,Actual 2020 - 2021 Total,Budget 2022- 2023 Revenue,Budget 2022- 2023 Capital,Budget 2022- 2023 Total,Revised 2022- 2023 Revenue,Revised 2022- 2023 Capital,Revised 2022- 2023 Total,Actual 2022- 2023 Revenue,Actual 2022- 2023 Capital,Actual 2022 - 2023 Total,Budget 2023 - 2024 Revenue,Budget 2023 - 2024 Capital,Budget 2023 - 2024 Total,Revised 2023 - 2024 Revenue,Revised 2023 - 2024 Capital,Revised 2023 - 2024 Total,Actual 2023 - 2024 Revenue,Actual 2023 - 2024 Capital,Actual 2023 - 2024 Total
Department of Agriculture and Farmers Welfare,Ministry of Agriculture and Farmers Welfare,134349.45,50.32,134399.77,116698.58,59.34,116757.92,94497.8,13.65,94511.45,122961.57,56.00,123017.57,118257.69,36.55,118294.24,108600.72,21.80,108622.52,115489.37,42.42,115531.79,216351.59,87.72,216439.31,101564.44,8.1,101572.54,227186.13,95.64,227281.77,239040.58,118.63,239159.21,203249.75,40.58,203290.33
Department of Agricultural Research and Education,Ministry of Agriculture and Farmers Welfare,8362.58,0,8362.58,7762.38,0,7762.38,7844.99,0,7844.99,8513.62,0,8513.62,8513.62,0,8513.62,7685.51,0,7685.51,9493.59,10.41,9504,9866.64,9.96,9876.6,8578.15,0,8578.15,9934.59,6.5,9941.09,10152.53,3.82,10156.35,9801,3.39,9804.39
Atomic Energy,Department of Atomic Energy,15797.1,10894.6,26691.7,15225.28,7512.44,22737.72,15416.36,9463.73,24880.09,16392.20,11403.20,27795.40,15466.35,15835.57,31301.92,14663.99,7452.84,22116.83,17479.46,17783.03,35262.49,19530.7,17374.75,36905.45,18803.61,15683.7,34487.31,20251.14,15908.79,36159.93,21142.56,15421.68,36564.24,18778.66,17107.3,35885.96
Ministry of Ayush,Ministry of AYUSH,2122.08,0,2122.08,2322.08,0,2322.08,1833.6,0,1833.6,2970.30,0,2970.30,2664.42,0,2664.42,2291.98,0,2291.98,3641.56,5.94,3647.5,2994.12,5.88,3000,2663.3,0,2663.3,3703.74,8.75,3712.49,3483.99,13.65,3497.64,2912.59,3.72,2916.31
Department of Chemicals and Petrochemicals,Ministry of Chemicals and Fertilisers,218.34,0,218.34,222,73.7,295.7,365.12,0,365.12,229.64,3.50,233.14,206.83,2.17,209.00,219.34,73.70,293.04,172.55,0.9,173.45,188.51,488.37,676.88,143.96,0,143.96,136.82,122.29,259.11,139.7,122.29,261.99,178.24,400.63,578.87
Department of Fertilisers,Ministry of Chemicals and Fertilisers,73974.95,0.05,73975,138569.46,813.24,139382.7,83507.27,0,83507.27,83596.77,444.62,84041.39,149218.70,444.58,149663.28,131271.10,813.24,132084.34,179125.79,2.69,179128.48,192476.6,2.69,192479.29,254841.43,0,254841.43,168127.2,3.61,168130.81,189320.93,15.36,189336.29,195465.1,1.62,195466.72
Department of Pharmaceuticals,Ministry of Chemicals and Fertilisers,326.4,7.18,333.58,463.23,7.18,470.41,227.11,333.15,560.26,461.29,9.12,470.41,1758.20,148.12,1906.32,449.01,7.15,456.16,3158.87,1.19,3160.06,2761.22,0.98,2762.2,2044.84,5.26,2050.1,4088.69,1.26,4089.95,3347.77,40.19,3387.96,2431.65,0.8,2432.45
Ministry of Civil Aviation,Ministry of Civil Aviation,3771.74,25.97,3797.71,4077.66,53.97,4131.63,3625.45,21.36,3646.81,3184.15,40.52,3224.67,6033.39,66618.61,72652.00,4040.28,49.90,4090.18,3026.7,86.66,3113.36,2150.35,771.77,2922.12,9235.09,86.44,9321.53,2257.79,99.35,2357.14,2556.94,101.74,2658.68,2002.22,755.18,2757.4
Ministry of Coal,Ministry of Coal,882.61,0,882.61,627.58,0,627.58,822.99,0,822.99,534.88,0,534.88,644.09,0,644.09,571.64,0,571.64,640.77,1.55,642.32,617.49,1.55,619.04,497.06,0,497.06,920.35,2.2,922.55,869.01,2.2,871.21,603.53,1.42,604.95
Department of Commerce,Ministry of Commerce and Industry,5532.32,687,6219.32,4173,427,4600,6024.47,919.96,6944.43,4699.01,287.00,4986.01,6554.00,867.00,7421.00,4155.82,427.00,4582.82,5216.43,38.15,5254.58,6021.31,28.7,6050.01,6686.02,395,7081.02,4954.84,59.22,5014.06,5557.64,66.36,5624,6005.52,27.29,6032.81
Department for Promotion of Industry and Internal Trade,Ministry of Commerce and Industry,5136.55,1469,6605.55,6785.66,797.4,7583.06,5316.4,1106.89,6423.29,6570.66,1211.58,7782.24,6696.42,1685.58,8382.00,6761.78,797.35,7559.13,6548.93,1651.7,8200.63,4741.48,1662.31,6403.79,4357.87,1598.28,5956.15,5050.69,1404.39,6455.08,6614.57,1396.43,8011,4706.17,1655.89,6362.06
