Department,Ministry,2015-2016 Revenue,2015-2016 Capital,2015-2016 Total,2016-2017 Revenue,2016-2017 Capital,2016-2017 Total,2017-2018 Revenue,2017-2018 Capital,2017-2018 Total,2018-2019 Revenue,2018-2019 Capital,2018-2019 Total,2019-2020 Revenue,2019-2020 Capital,2019-2020 Total,2020-2021 Revenue,2020-2021 Capital,2020-2021 Total,2021-2022 Revenue,2021-2022 Capital,2021-2022 Total,2022-2023 Revenue,2022-2023 Capital,2022-2023 Total,2023-2024 Revenue,2023-2024 Capital,2023-2024 Total,2024-2025 Revenue,2024-2025 Capital,2024-2025 Total
Department of Agriculture and Farmers Welfare,Ministry of Agriculture and Farmers Welfare,16959.36,44.99,17004.35,35952.83,30.86,35983.69,41775.57,79.43,41855,46586.3,113.7,46700,130450.51,34.7,130485.21,134349.45,50.32,134399.77,122961.57,56,123017.57,123960.75,39.25,124000,115489.37,42.42,115531.79,122433.13,95.64,122528.77
Department of Agricultural Research and Education,Ministry of Agriculture and Farmers Welfare,6320,0,6320,6620,0,6620,6800,0,6800,7800,0,7800,8078.76,0,8078.76,8362.58,0,8362.58,8513.62,0,8513.62,8513.62,0,8513.62,9493.59,10.41,9504,9934.59,6.5,9941.09
Atomic Energy,Department of Atomic Energy,4839.31,4360.69,9200,5794.03,5888.45,11682.48,7264.02,5197.18,12461.2,7834.38,6137.03,13971.41,8818.95,8106.56,16925.51,8884.44,9344.5,18228.94,8389.12,9875.77,18264.89,8440.34,14283.24,22723.58,9096.99,15981.5,25078.49,11108.19,13860.79,24968.98
Ministry of Ayush,Ministry of AYUSH,1197,17,1214,1323.2,3,1326.2,1425.35,3.3,1428.65,1602.67,23.7,1626.37,1939.55,0.21,1939.76,2122.08,0,2122.08,2970.3,0,2970.3,3050,0,3050,3641.56,5.94,3647.5,3703.74,8.75,3712.49
Department of Chemicals and Petrochemicals,Ministry of Chemicals and Fertilisers,223.15,32.03,255.18,162.01,40.03,202.04,273.39,24.61,298,199.65,0,199.65,263.65,0,263.65,218.34,0,218.34,229.64,3.5,233.14,207.67,1.33,209,172.55,0.9,173.45,136.82,122.29,259.11
Department of Fertilisers,Ministry of Chemicals and Fertilisers,72997.76,50.04,73047.8,70038.33,1.04,70039.37,70032.67,0.04,70032.71,70125.35,0.04,70125.39,80034.95,0.05,80035,71344.95,0.05,71345,79566.77,444.62,80011.39,105262.18,0.05,105262.23,175145.79,2.69,175148.48,164147.2,3.61,164150.81
Department of Pharmaceuticals,Ministry of Chemicals and Fertilisers,258.94,0.08,259.02,211.3,0.1,211.4,247.68,0.06,247.74,261.47,0.06,261.53,230.45,5.06,235.51,326.4,7.18,333.58,461.29,9.12,470.41,2238.85,5.3,2244.15,3158.87,1.19,3160.06,4088.69,1.26,4089.95
Ministry of Civil Aviation,Ministry of Civil Aviation,813.3,2528.2,3341.5,810.48,1780.2,2590.68,781.3,1920.7,2702,5881.86,721,6602.86,4474.99,25.01,4500,3771.74,25.97,3797.71,3184.15,40.52,3224.67,10590.54,76.46,10667,3026.7,86.66,3113.36,2257.79,99.35,2357.14
Ministry of Coal,Ministry of Coal,606,0,606,361,0,361,745.1,0,745.1,770.91,0,770.91,1159.05,0,1159.05,882.61,0,882.61,534.88,0,534.88,393.24,0,393.24,190.77,1.55,192.32,190.35,2.2,192.55
Department of Commerce,Ministry of Commerce and Industry,4990.01,101.5,5091.51,4262.8,100,4362.8,4314.61,151.22,4465.83,4741.7,510,5251.7,5709.32,510,6219.32,5532.32,687,6219.32,4699.01,287,4986.01,5673,400,6073,5216.43,38.15,5254.58,4954.84,59.22,5014.06
Department for Promotion of Industry and Internal Trade,Ministry of Commerce and Industry,2613.58,2.61,2616.19,3016.94,9.61,3026.55,3599.19,9.68,3608.87,5430.56,709.67,6140.23,5001.79,672.72,5674.51,5136.55,1469,6605.55,6570.66,1211.58,7782.24,7048,1300,8348,6548.93,1651.7,8200.63,5050.69,1404.39,6455.08
Department of Posts,Ministry of Communications,6802.05,336.65,7138.7,8619.27,406.26,9025.53,9055,495,9550,10738.66,757.52,11496.18,10351.36,947.74,11299.1,14394.17,1131.21,15525.38,15618.13,910.09,16528.22,19931.4,888.62,20820.02,24417.05,1396.95,25814,24115.87,1262.6,25378.47
Department of Telecommunications,Ministry of Communications,10884.1,2590.5,13474.6,15555.17,2858.7,18413.87,23301.47,3386,26687.47,23052.53,5002.75,28055.28,22343.64,4994.72,27338.36,40756.63,25675.06,66431.69,32803.44,25933.56,58737,30436.38,54150.42,84586.8,35887.23,61691.82,97579.05,27419.17,84496.26,111915.43
